date,csup,cinf,close,cmed,volume
2021-01-15 04:00:00,,,38425.83,,2792.0441
2021-01-15 05:00:00,,,37808.9,,3634.095611
2021-01-15 06:00:00,38556.88306620436,37853.85531847008,38043.27,38063.782694007736,4123.493724
2021-01-15 07:00:00,38461.24193051085,37683.72477686585,38473.08,38109.89266386077,3768.177243
2021-01-15 08:00:00,38400.431177858016,37775.51510574904,38280.2,38257.46863200309,3113.972927
2021-01-15 09:00:00,38626.34571505215,37943.24211700889,38679.36,38482.04169458036,3356.499665
2021-01-15 10:00:00,38727.42280426974,38141.48036907319,38441.89,38475.653418656904,2224.431673
2021-01-15 11:00:00,38683.3161990832,38060.3983102679,38108.88,38417.329026964355,3028.510379
2021-01-15 12:00:00,38411.19590641512,37613.138563758934,37770.63,37993.44208061787,6046.111543
2021-01-15 13:00:00,38176.391107859796,37377.70698747887,37683.94,37816.7915068811,4557.685702
2021-01-15 14:00:00,37957.06223643512,36999.34267213112,36939.49,37429.15697322367,6587.752786
2021-01-15 15:00:00,37404.789517356636,36056.60337980934,35610.72,36409.66847307467,11637.874872
2021-01-15 16:00:00,36865.070990355496,35118.391128421055,36151.09,36119.47307827063,16406.907333
2021-01-15 17:00:00,36545.3524002706,34883.89708608645,35947.31,35931.12661597204,7410.887997
2021-01-15 18:00:00,36349.00824821077,34726.7217075166,35421.55,35934.11445730067,7136.055299
2021-01-15 19:00:00,36212.46125525472,35084.85634087279,35217.26,35586.54417321299,4051.588722
2021-01-15 20:00:00,36083.89632281517,34873.48762249257,35605.7,35432.91713516519,5526.419085
2021-01-15 21:00:00,36011.47252920736,35115.42655722955,36234.05,35686.4233771851,4285.708843
2021-01-15 22:00:00,36262.3691541133,35341.15292075941,36600.0,36065.34839480347,3398.855783
2021-01-15 23:00:00,36690.98048876627,35881.11516832576,36742.22,36474.074808838515,2240.110587
2021-01-16 00:00:00,37117.559721725855,36382.35149141831,37159.51,36870.31375029796,4169.146802
2021-01-16 01:00:00,37406.99382349636,36724.89491074026,37005.86,37010.61732023923,4102.259275
2021-01-16 02:00:00,37437.98137692948,36534.67160788211,36224.51,36789.609331924556,4298.866339
2021-01-16 03:00:00,37238.84102976734,36270.389847792496,36532.92,36584.86069360811,3426.000503
2021-01-16 04:00:00,36944.325982459944,35975.730062197006,36574.54,36406.68822417835,2089.282085
2021-01-16 05:00:00,36691.282419553034,35772.9906327158,35854.37,36256.49986973579,4007.389585
2021-01-16 06:00:00,36569.14382253285,35759.94430784941,36112.42,36104.913662401326,3043.317624
2021-01-16 07:00:00,36676.7553872728,35796.19681432995,36574.86,36173.48072526574,3648.988053
2021-01-16 08:00:00,37004.24027663062,36120.76330442917,37464.3,36787.10017597859,4175.618239
2021-01-16 09:00:00,37372.49477594346,36522.861467337505,37448.77,37168.24351783219,3311.739104
2021-01-16 10:00:00,37707.69373750518,36939.64693345305,37410.66,37440.77786492416,4139.978807
2021-01-16 11:00:00,37828.059857663764,37234.12556369766,37680.0,37498.63632293397,2918.80035
2021-01-16 12:00:00,37896.69555676877,37035.65779958721,37357.15,37456.31694500665,4677.641269
2021-01-16 13:00:00,37812.143145645314,36941.56877589086,37143.51,37380.246416773385,3239.400688
2021-01-16 14:00:00,37665.035721625776,36797.600304890424,37232.19,37258.167999575584,3525.255557
2021-01-16 15:00:00,37569.04184609392,36899.539909459425,37461.99,37281.907313731645,3462.801465
2021-01-16 16:00:00,37587.128367518395,36859.754116044176,37231.41,37305.11776130459,3881.93071
2021-01-16 17:00:00,37596.51773639436,36911.96085139978,36860.97,37218.00509627004,2512.100908
2021-01-16 18:00:00,37445.76527648593,36743.80683615882,36484.95,36921.312326655585,2411.279809
2021-01-16 19:00:00,36960.595572063,36423.66041564355,36376.39,36542.66767697826,3971.874623
2021-01-16 20:00:00,36817.770433095255,36261.86892615043,36711.16,36518.00562686165,3324.72866
2021-01-16 21:00:00,36709.01349311501,35982.13460331924,35924.44,36262.64678558125,5744.883332
2021-01-16 22:00:00,36593.28956519652,35739.27069529281,36121.12,36187.266654172476,3505.766993
2021-01-16 23:00:00,36510.03706190269,35638.80077036098,35994.98,35998.058541437116,2759.380728
2021-01-17 00:00:00,36377.12152972783,35568.03330754884,36396.42,36188.959247192346,3726.445506
2021-01-17 01:00:00,36552.538207661375,35832.70292608387,36715.63,36375.13900343907,2847.948884
2021-01-17 02:00:00,36619.50254995998,35902.07501743769,36419.68,36508.61971097761,1927.694738
2021-01-17 03:00:00,36676.89223046391,36134.12695505788,36177.0,36471.51389012122,2021.331779
2021-01-17 04:00:00,36551.1218930003,36006.16176757854,35847.46,36140.25754166162,2093.289096
2021-01-17 05:00:00,36274.13614984618,35723.72386732415,35547.13,35818.2413255042,2900.407945
2021-01-17 06:00:00,35971.33235413647,35357.457173223534,35390.8,35546.16100122904,4077.705444
2021-01-17 07:00:00,35715.05582111008,34925.29051471687,34760.9,35165.240827044516,5014.082485
2021-01-17 08:00:00,35319.91515332032,34577.62613677135,34732.83,34924.493895195184,5641.050217
2021-01-17 09:00:00,35170.75522593044,34264.389159829865,34176.77,34550.606814138766,5570.231297
2021-01-17 10:00:00,35056.61514622466,34049.29974582509,34818.0,34578.63717146204,5718.029049
2021-01-17 11:00:00,35226.88045659414,34128.91187846347,35267.17,34696.72822265922,3861.659694
2021-01-17 12:00:00,35336.047816432794,34347.69800073982,35124.69,35035.81978295446,3962.002679
2021-01-17 13:00:00,35480.775079974024,34731.911801897,34841.83,35099.04597875933,2919.101064
2021-01-17 14:00:00,35443.39907920748,34714.22468094852,34750.02,34930.12556769242,2849.001966
2021-01-17 15:00:00,35631.25467365437,34736.94606991832,35728.47,35196.704469329045,4341.235449
2021-01-17 16:00:00,35844.70020277741,35006.72163128857,35910.07,35529.96924260521,3578.888951
2021-01-17 17:00:00,36074.400501641736,35231.97125784568,35837.22,35816.31550061815,2191.923305
2021-01-17 18:00:00,36103.0770168684,35600.853197890145,35678.67,35840.713354016705,1484.556842
2021-01-17 19:00:00,36026.590383484036,35577.38040629747,35633.91,35723.443550048505,2043.037186
2021-01-17 20:00:00,36013.22700505644,35560.886280598155,36072.99,35800.74737042632,1917.722247
2021-01-17 21:00:00,36445.99062952051,35802.46607705692,36542.96,36191.07356265873,3878.402824
2021-01-17 22:00:00,36630.2431540087,35930.78571588616,36181.16,36329.820970176355,2247.453044
2021-01-17 23:00:00,36662.69013765922,35855.88526077277,35828.61,36204.82257443933,3344.525693
2021-01-18 00:00:00,36339.2934005368,35647.70067779867,35964.2,35968.02723569484,3323.901139
2021-01-18 01:00:00,36207.25699624871,35550.02958993375,36125.44,35959.80579875939,2560.955564
2021-01-18 02:00:00,36121.6150602981,35605.15102033911,35764.66,35958.43551062013,2306.027566
2021-01-18 03:00:00,36023.71758736706,35250.348019596546,35106.25,35538.93861419903,4674.316954
2021-01-18 04:00:00,35825.47529539665,35074.51005419781,35132.11,35282.37446813921,1922.624472
2021-01-18 05:00:00,35632.85826961546,34845.11387327245,35344.5,35177.0815136262,2494.063151
2021-01-18 06:00:00,35421.44427172681,34907.22117030041,35195.45,35237.010047350566,1597.768436
2021-01-18 07:00:00,35866.529647901065,35030.621360373225,36104.61,35686.529727849105,3917.131562
2021-01-18 08:00:00,36169.52245492604,35427.109771225514,36233.19,35963.28592981316,2494.364151
2021-01-18 09:00:00,36444.138628070876,35738.79098026372,36574.61,36290.83638116912,3077.327292
2021-01-18 10:00:00,36584.22546686824,36138.34822506616,36216.63,36355.02207004754,2686.93417
2021-01-18 11:00:00,36602.80380139144,36018.40316334778,36442.08,36420.62359449821,3460.541947
2021-01-18 12:00:00,37089.37422097125,36188.68381517151,36981.4,36708.92839698116,8243.844243
2021-01-18 13:00:00,37155.76288700038,36336.84023895374,36766.78,36807.28791815185,4234.618101
2021-01-18 14:00:00,37250.923066182586,36394.08453866629,36449.71,36806.1221173818,3586.759986
2021-01-18 15:00:00,36933.38592613528,36345.364382912885,36405.98,36576.79586123284,2041.284624
2021-01-18 16:00:00,36752.651333089205,35994.287088273544,36184.31,36351.163302567904,2789.035791
2021-01-18 17:00:00,36459.765385608334,35716.24732798345,35675.28,36019.03116700222,3638.798654
2021-01-18 18:00:00,36284.10864237811,35573.663657309124,35755.62,35861.11598878739,2134.487969
2021-01-18 19:00:00,36126.6295916412,35513.365352545494,35956.14,35770.57067415827,2040.507553
2021-01-18 20:00:00,36129.25169324873,35663.90121200029,36102.79,35943.86061860465,2370.494127
2021-01-18 21:00:00,36257.435830066344,35783.16106314748,36198.01,36073.94807737488,1386.554874
2021-01-18 22:00:00,36407.3809570511,35918.773448007225,36470.06,36228.25639694173,1403.435027
2021-01-18 23:00:00,36578.66784167378,36154.56459526904,36631.27,36469.18986895556,2312.341397
